# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:43 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAQ2_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.63 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.450000          1.59391844e-04      1.07975954e-03      4.24273844e-04      1.07677699e-07     -1.33833251e-03     -1.71357581e-05      1.07190543e-05
0.455000          1.57696937e-04      1.05451339e-03      4.11258698e-04      1.00247010e-07     -1.30201291e-03     -1.63345704e-05      1.01720827e-05
0.460000          1.55803906e-04      1.02746627e-03      3.97532346e-04      9.25200787e-08     -1.26340364e-03     -1.54746681e-05      9.59107786e-06
0.465000          1.53742646e-04      9.99041170e-04      3.83302198e-04      8.47852231e-08     -1.22309812e-03     -1.45781522e-05      8.99076805e-06
0.470000          1.51543049e-04      9.69661060e-04      3.68775662e-04      7.73307619e-08     -1.18168976e-03     -1.36671237e-05      8.38588179e-06
0.475000          1.49234967e-04      9.39747760e-04      3.54159479e-04      7.04436873e-08     -1.13977020e-03     -1.27636027e-05      7.79109066e-06
0.480000          1.46843891e-04      9.09599700e-04      3.39589315e-04      6.42695929e-08     -1.09774341e-03     -1.18809854e-05      7.21500571e-06
0.485000          1.44387138e-04      8.79284161e-04      3.25067674e-04      5.86891788e-08     -1.05566176e-03     -1.10165118e-05      6.65488421e-06
0.490000          1.41881127e-04      8.48843013e-04      3.10582428e-04      5.35540249e-08     -1.01353896e-03     -1.01656460e-05      6.10673529e-06
0.495000          1.39342278e-04      8.18318126e-04      2.96121443e-04      4.87157112e-08     -9.71388723e-04     -9.32385206e-06      5.56656811e-06
0.500000          1.36787009e-04      7.87751369e-04      2.81672590e-04      4.40258176e-08     -9.29224773e-04     -8.48659407e-06      5.03039178e-06
