# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:25:01 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAW3_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.405000          8.99672982e-05      8.30920954e-04      3.89113713e-04      3.26541616e-07     -1.12298724e-03     -2.12985577e-05      1.38918877e-05
0.410000          9.01676783e-05      8.10644356e-04      3.74596373e-04      3.26891894e-07     -1.08802241e-03     -2.08925164e-05      1.35149851e-05
0.415000          9.00501890e-05      7.89882552e-04      3.60550338e-04      3.25676666e-07     -1.05342485e-03     -2.03917766e-05      1.31082496e-05
0.420000          8.96106566e-05      7.68715602e-04      3.47130254e-04      3.21543470e-07     -1.01944308e-03     -1.97654700e-05      1.26518037e-05
0.425000          8.88753542e-05      7.46971116e-04      3.34226640e-04      3.13432565e-07     -9.85773329e-04     -1.89807252e-05      1.21182195e-05
0.430000          8.78810718e-05      7.24462116e-04      3.21677928e-04      3.00583726e-07     -9.52030834e-04     -1.80121518e-05      1.14834297e-05
0.435000          8.66832169e-05      7.01247720e-04      3.09376929e-04      2.83510009e-07     -9.18098399e-04     -1.68782106e-05      1.07516679e-05
0.440000          8.53457606e-05      6.77513999e-04      2.97253771e-04      2.63234955e-07     -8.84008913e-04     -1.56155998e-05      9.93926859e-06
0.445000          8.39506720e-05      6.53798526e-04      2.85392783e-04      2.41392557e-07     -8.50276930e-04     -1.42874572e-05      9.08235709e-06
0.450000          8.25887983e-05      6.30811062e-04      2.73955216e-04      2.19895029e-07     -8.17654846e-04     -1.29688957e-05      8.22636785e-06
0.455000          8.13512103e-05      6.09249913e-04      2.63115171e-04      2.00367630e-07     -7.86903770e-04     -1.17216092e-05      7.41113838e-06
0.460000          8.03277076e-05      5.89792052e-04      2.53051968e-04      1.84208067e-07     -7.58775614e-04     -1.05968948e-05      6.67198793e-06
0.465000          7.95778235e-05      5.72840043e-04      2.43871839e-04      1.72231071e-07     -7.33713794e-04     -9.62402985e-06      6.03153430e-06
0.470000          7.91309608e-05      5.58525225e-04      2.35608670e-04      1.64678299e-07     -7.11856734e-04     -8.81081437e-06      5.49993546e-06
0.475000          7.89855718e-05      5.46773933e-04      2.28246701e-04      1.61336108e-07     -6.93121756e-04     -8.15356804e-06      5.07892574e-06
0.480000          7.90995238e-05      5.37247833e-04      2.21706506e-04      1.61401229e-07     -6.77141506e-04     -7.63412293e-06      4.75941329e-06
0.485000          7.94061844e-05      5.29461294e-04      2.15879446e-04      1.63721550e-07     -6.63397881e-04     -7.22378471e-06      4.52338870e-06
0.490000          7.97975935e-05      5.22683004e-04      2.10609624e-04      1.66558325e-07     -6.51123152e-04     -6.87569475e-06      4.33725380e-06
0.495000          8.01894095e-05      5.16295696e-04      2.05727595e-04      1.68653919e-07     -6.39624080e-04     -6.55038339e-06      4.17192860e-06
0.500000          8.05748429e-05      5.10070865e-04      2.01041375e-04      1.70251472e-07     -6.28488931e-04     -6.23426335e-06      4.01554644e-06
