 05-Oct-2006       (vang_036.da - 1.000 *Avrag00.dat) /  2.3000               
vang_036.dat  Conc = .23E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
 Avrag00.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2156  SCALE =  1
  0.797565E+00  0.291830E+02  0.300320E+00
  0.799841E+00  0.285761E+02  0.299777E+00
  0.802118E+00  0.276609E+02  0.297723E+00
  0.804394E+00  0.273817E+02  0.299260E+00
  0.806671E+00  0.269296E+02  0.292516E+00
  0.808947E+00  0.273509E+02  0.296074E+00
  0.811224E+00  0.274748E+02  0.296535E+00
  0.813501E+00  0.267909E+02  0.293390E+00
  0.815777E+00  0.264970E+02  0.293982E+00
  0.818054E+00  0.270843E+02  0.291784E+00
  0.820330E+00  0.271039E+02  0.293377E+00
  0.822607E+00  0.262691E+02  0.290903E+00
  0.824884E+00  0.260691E+02  0.289670E+00
  0.827160E+00  0.258735E+02  0.289446E+00
  0.829437E+00  0.253535E+02  0.287333E+00
  0.831713E+00  0.256387E+02  0.291283E+00
  0.833990E+00  0.254317E+02  0.286335E+00
  0.836267E+00  0.248817E+02  0.286952E+00
  0.838543E+00  0.244348E+02  0.286608E+00
  0.840820E+00  0.245513E+02  0.285053E+00
  0.843096E+00  0.245383E+02  0.285265E+00
  0.845373E+00  0.246126E+02  0.282729E+00
  0.847649E+00  0.243339E+02  0.284986E+00
  0.849926E+00  0.244039E+02  0.283345E+00
  0.852203E+00  0.246835E+02  0.283904E+00
  0.854479E+00  0.240865E+02  0.283013E+00
  0.856756E+00  0.236635E+02  0.280232E+00
  0.859032E+00  0.232704E+02  0.282054E+00
  0.861309E+00  0.227943E+02  0.278428E+00
  0.863586E+00  0.233883E+02  0.280493E+00
  0.865862E+00  0.228617E+02  0.278737E+00
  0.868139E+00  0.231487E+02  0.277894E+00
  0.870415E+00  0.231726E+02  0.279017E+00
  0.872692E+00  0.229178E+02  0.275697E+00
  0.874968E+00  0.228196E+02  0.275623E+00
  0.877245E+00  0.226335E+02  0.276005E+00
  0.879522E+00  0.226561E+02  0.275076E+00
  0.881798E+00  0.221557E+02  0.275449E+00
  0.884075E+00  0.222517E+02  0.273109E+00
  0.886351E+00  0.219074E+02  0.274587E+00
  0.888628E+00  0.219170E+02  0.273579E+00
  0.890905E+00  0.221670E+02  0.272950E+00
  0.893181E+00  0.212183E+02  0.272747E+00
  0.895458E+00  0.208439E+02  0.269892E+00
  0.897734E+00  0.208278E+02  0.272261E+00
  0.900011E+00  0.208417E+02  0.269259E+00
  0.902288E+00  0.204591E+02  0.271299E+00
  0.904564E+00  0.204809E+02  0.268051E+00
  0.906841E+00  0.206757E+02  0.268900E+00
  0.909117E+00  0.204078E+02  0.270279E+00
  0.911394E+00  0.198609E+02  0.267342E+00
  0.913670E+00  0.200117E+02  0.269491E+00
  0.915947E+00  0.194739E+02  0.264266E+00
  0.918224E+00  0.194496E+02  0.268491E+00
  0.920500E+00  0.194052E+02  0.265315E+00
  0.922777E+00  0.194004E+02  0.264574E+00
  0.925053E+00  0.191796E+02  0.267868E+00
  0.927330E+00  0.190530E+02  0.263413E+00
  0.929607E+00  0.189852E+02  0.265223E+00
  0.931883E+00  0.194513E+02  0.263848E+00
  0.934160E+00  0.191148E+02  0.262510E+00
  0.936436E+00  0.187478E+02  0.265227E+00
  0.938713E+00  0.182752E+02  0.260444E+00
  0.940989E+00  0.181183E+02  0.263432E+00
  0.943266E+00  0.182670E+02  0.260416E+00
  0.945543E+00  0.182500E+02  0.261254E+00
  0.947819E+00  0.184813E+02  0.262509E+00
  0.950096E+00  0.181078E+02  0.259326E+00
  0.952372E+00  0.180322E+02  0.261192E+00
  0.954649E+00  0.180135E+02  0.257752E+00
  0.956926E+00  0.177161E+02  0.259693E+00
  0.959202E+00  0.173422E+02  0.258859E+00
  0.961479E+00  0.167517E+02  0.256681E+00
  0.963755E+00  0.169061E+02  0.259076E+00
  0.966032E+00  0.172317E+02  0.257050E+00
  0.968309E+00  0.172683E+02  0.256498E+00
  0.970585E+00  0.173113E+02  0.256039E+00
