# Pepsi-SAXS version 2.6 from 29 Jan 2020
# Run at isabelsmacbookpro.local on Thu Oct 16 14:26:21 2025
# Command-line arguments: /Users/isabelvinterbladh/Downloads/Pepsi-SAXS SASDAJ6_fit1_model1.pdb 
# Intensities are written in cm-1
# r0:   1.62 d_rho:   0.06
#     q                   I                 Iat                 Iev                 Ihs            <AatAev>            <AatAhs>            <AevAhs>
0.435000          1.18535647e-04      9.41714724e-04      4.10938628e-04      2.21751930e-07     -1.22690466e-03     -2.02164145e-05      1.27816200e-05
0.440000          1.16545663e-04      8.94419299e-04      3.84133006e-04      2.11478224e-07     -1.15518815e-03     -1.88553041e-05      1.18253325e-05
0.445000          1.14575137e-04      8.48972835e-04      3.58539900e-04      1.99816473e-07     -1.08656916e-03     -1.73940501e-05      1.08257902e-05
0.450000          1.12875093e-04      8.08743614e-04      3.35740837e-04      1.88470223e-07     -1.02567950e-03     -1.60095346e-05      9.89120303e-06
0.455000          1.11593562e-04      7.75738655e-04      3.16678312e-04      1.78445553e-07     -9.75272150e-04     -1.48315461e-05      9.10184496e-06
0.460000          1.10770291e-04      7.50522589e-04      3.01622908e-04      1.69989989e-07     -9.36117583e-04     -1.39291970e-05      8.50158347e-06
0.465000          1.10329495e-04      7.32008350e-04      2.90077973e-04      1.62710976e-07     -9.06719796e-04     -1.32736068e-05      8.07386416e-06
0.470000          1.10144553e-04      7.18309563e-04      2.81167341e-04      1.56011096e-07     -8.84473907e-04     -1.27837610e-05      7.76930527e-06
0.475000          1.10101847e-04      7.07456706e-04      2.73944681e-04      1.49644813e-07     -8.66614625e-04     -1.23575534e-05      7.52299319e-06
0.480000          1.10135578e-04      6.97990398e-04      2.67672716e-04      1.43669122e-07     -8.51037971e-04     -1.19154923e-05      7.28225806e-06
0.485000          1.10266255e-04      6.89490380e-04      2.62059409e-04      1.38539914e-07     -8.37015798e-04     -1.14314672e-05      7.02519230e-06
0.490000          1.10578234e-04      6.82673115e-04      2.57356935e-04      1.34503057e-07     -8.25418444e-04     -1.09218236e-05      6.75394957e-06
0.495000          1.11184832e-04      6.78976825e-04      2.54174769e-04      1.31511770e-07     -8.18153659e-04     -1.04333712e-05      6.48875652e-06
0.500000          1.11992042e-04      6.77457603e-04      2.52034607e-04      1.29137683e-07     -8.13893321e-04     -9.96745929e-06      6.23147509e-06
